,Tokens,Tagged Sentence
0,"['I', 'am', 'not', 'Mount', 'Everest', '-', 'to', 'be', 'climbed', 'upon', '!']","['O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
1,"['Lack', 'of', 'awareness', 'of', 'waste', 'problem', 'on', 'Mount', 'Everest', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
2,"['K2', ""'s"", 'recent', 'CODiE', 'Award', 'for', '``', 'Best', 'Asset', 'Management', 'Solution', ""''"", 'attests', 'to', 'its', 'elegant', 'and', 'flexible', 'design', 'coupled', 'with', 'its', 'robust', 'and', 'scalable', 'implementation', '.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,"['Each', 'content', 'type', '(', 'K2', ',', 'Hikashop', '...', ')', 'can', 'be', 'configured', 'separately', 'witch', 'is', 'pretty', 'flexible', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,"['Vitamin', 'K2', 'is', 'needed', 'for', 'normal', 'blood', 'coagulation', '(', 'in', 'German', 'and', 'Nordic', 'languages', ':', '``', 'Koagultion', ""''"", 'from', 'where', 'the', '``', 'K', ""''"", 'originated', ')', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Le', 'vol', '101', ""d'Air"", 'India', 'était', 'un', 'vol', 'régulier', 'reliant', 'Bombay', 'à', 'Londres', ',', 'et', 'le', 'jour', 'de', ""l'accident"", 'a', 'été', 'opéré', 'par', 'un', 'Boeing', '707', ',', 'immatriculé', 'VT-DMN', 'et', 'nommé', 'Kangchenjunga', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
6,"['Et', 'tout', 'en', 'haut', 'du', 'Kangchenjunga', ',', 'votre', 'logo', 'sur', 'le', 'drapeau', 'qui', 'flotte', 'au', 'vent', '!']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,"['Son', ""chef-d'œuvre"", 'est', 'probablement', ""l'ascension"", 'audacieuse', 'en', 'style', 'alpin', 'de', ""l'arête"", 'sud', 'du', 'sommet', 'sud', 'du', 'Kangchenjunga', ',', 'une', 'ascension', 'récompensée', 'par', 'le', 'premier', 'Piolet', ""d'Or"", '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['Lhotse', 'is', 'the', 'fourth', 'highest', 'mountain', 'in', 'the', 'world', '.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,"['After', 'lunch', ',', 'climb', 'towards', 'the', 'Lhotse', 'Shar', 'glacier', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O']"
